id,topic,question,rule,verdict,result,supersedes,superseded_by
6b,stageb,Should Stage B be trained against a causal sigma reference?,adopt if DSC/UNC improves in >=5 of 6 walk-forward folds,ADOPT,"DSC/UNC 0.04980 -> 0.05382, 6/6 folds",,
freshness,features,Does features.py discard the last complete hour before the anchor?,adopt if QLIKE or DSC/UNC improves in >=5 of 6 folds,ADOPT,"QLIKE -3.33% at 6/6, t +4.06; barrier discrimination 4/6 reported as null",,
direction,direction,Is the sign of the 19h return attainable from these features?,an arm counts only if it clears a shuffled-DSC permutation null,REJECT,nothing clears at the deployed config; best wide-slice skill 0.180% vs 4.98% on barriers (27x),,
lam_r,head,Does reweighting the terminal-return head help?,adopt if >=5 of 6 folds improve,NULL,4/6,,
q_mx,head,Does a dedicated max-excursion head improve barrier scores?,adopt if >=5 of 6 folds improve,NULL,11/18 cells; measured on a fit whose training data ends before the market it is judged on,,
reg_post_etf_drop,regime,Does dropping the untrained regime flag hurt?,drop if shipped-split scores are no worse,NULL,2-3 of 6,,
efficiency,shape,Do path-efficiency shape features help?,adopt if >=5 of 6 folds improve,NULL,DSC 2/6 at t +0.22; pinball 1/6,,
5b,shape,How far does BTC travel per unit of realized volatility?,"measurement, reported with a block-bootstrap CI",WITHDRAWN,gap -0.1907 against a 1.5218 benchmark -- the benchmark sampled 5-min CLOSES while the data's extremes are 1-min bar HIGHS,,5b-bis
5b-bis,shape,"Same, with the benchmark sampled as the data actually is","measurement, reported with a block-bootstrap CI",ADOPT,"1.3311 vs 1.5831; gap -0.2519 CI [-0.2851, -0.2212]",5b,
6l,refresh,Does refreshing the training window beat a fit frozen in 2023?,QLIKE wins >=5/6 AND deep-tail MCB worse in <=2/6,REJECT,"QLIKE 5/6 (-5.02%) but tail worse 4/6 -- arms had 52,359 vs 17,511 calibration episodes",,6m
6m,refresh,"Same, with calibration-slice sizes matched","same rule, stated in 6l before this ran",ADOPT,"QLIKE 5/6 (-4.97%), tail better 5/6; the frozen arm's tail moved +0.005013 from slice size alone",6l,
6n,refresh,Does the DEPLOYABLE arm (fresh AND large calibration) pass?,same rule,REJECT,QLIKE 5/6 (-2.69%) but tail worse 3/6; predicted in advance to be the best arm -- it was the worst,,
